ce_chng_in_oi,ce_iv,ce_ltp,ce_net_chng,ce_oi,ce_volume,pe_chng_in_oi,pe_iv,pe_ltp,pe_net_chng,pe_oi,pe_volume,spot_price,strike_price,time
-,-,-,-,-,-,-,48.92,23.00,-0.45,18150,1,10127,7300,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,7350,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,7400,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,7450,1003
-,-,-,-,225,-,13650,46.69,26.00,-2.25,140850,394,10127,7500,1003
-,-,-,-,-,-,-,-,-,-,75,-,10127,7550,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,7600,1003
-,-,-,-,-,-,-,-,-,-,2175,-,10127,7650,1003
-,-,-,-,75,-,-,-,-,-,26550,-,10127,7700,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,7750,1003
-,-,-,-,-,-,-,-,-,-,375,-,10127,7800,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,7850,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,7900,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,7950,1003
-600,-,2116.75,61.75,3900,10,-900,41.22,35.55,-3.60,224925,116,10127,8000,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,8050,1003
-,-,-,-,-,-,-,-,-,-,750,-,10127,8100,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,8150,1003
-,-,-,-,-,-,-75,38.84,40.15,-4.85,3900,13,10127,8200,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,8250,1003
-,-,-,-,600,-,-,38.17,45.00,-11.05,2325,2,10127,8300,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,8350,1003
-,-,-,-,-,-,-,35.73,41.25,-14.45,900,1,10127,8400,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,8450,1003
225,-,1649.00,84.95,10725,7,1350,36.23,52.90,-7.30,280575,264,10127,8500,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,8550,1003
-,-,-,-,-,-,-,-,-,-,2700,-,10127,8600,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,8650,1003
-,-,-,-,-,-,-75,35.55,71.00,-6.70,4575,7,10127,8700,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,8750,1003
-,-,-,-,-,-,1500,34.75,77.25,-9.10,30825,53,10127,8800,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,8850,1003
-,-,-,-,150,-,75,34.37,85.50,-8.55,4500,2,10127,8900,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,8950,1003
-525,-,1190.00,78.85,108525,31,27150,33.43,97.05,-14.95,627975,1247,10127,9000,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,9050,1003
-,-,-,-,1350,-,75,32.30,105.25,-29.75,6600,5,10127,9100,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,9150,1003
-,-,-,-,3225,-,375,33.05,132.00,-14.95,8550,24,10127,9200,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,9250,1003
-,-,935.00,110.00,4275,1,1125,32.86,152.05,-14.95,298800,56,10127,9300,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,9350,1003
-,-,-,-,7500,-,900,31.83,166.85,-22.80,26550,39,10127,9400,1003
-,-,-,-,-,-,-,-,-,-,75,-,10127,9450,1003
-1050,14.27,789.45,70.60,214650,52,9000,31.72,189.15,-26.10,246525,623,10127,9500,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,9550,1003
75,15.11,701.00,86.00,8250,2,1725,31.41,211.10,-31.95,9750,87,10127,9600,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,9650,1003
-,17.39,640.00,131.00,6900,1,825,31.42,242.75,-33.55,17325,57,10127,9700,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,9750,1003
75,17.97,570.90,49.15,12450,6,11925,31.05,271.90,-42.45,221475,271,10127,9800,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,9850,1003
450,18.54,512.40,46.40,14025,15,225,30.89,310.10,-44.50,56325,98,10127,9900,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,9950,1003
1050,19.13,456.35,55.95,471825,333,675,30.84,349.80,-44.80,182475,479,10127,10000,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,10050,1003
150,19.32,400.50,46.80,14400,35,825,30.77,390.00,-51.85,8175,72,10127,10100,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,10150,1003
3000,19.24,349.80,45.40,16725,94,975,31.11,449.00,-42.40,6750,24,10127,10200,1003
75,26.06,420.95,-725.90,75,1,-,-,-,-,-,-,10127,10250,1003
975,19.30,291.20,28.70,7350,39,-,30.17,485.00,-65.00,225,1,10127,10300,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,10350,1003
-825,19.57,257.70,35.05,12375,56,-,-,-,-,150,-,10127,10400,1003
-,-,-,-,75,-,-,-,-,-,-,-,10127,10450,1003
5550,19.99,220.90,32.55,303675,644,900,31.96,624.00,-54.25,42375,49,10127,10500,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,10550,1003
75,19.26,173.20,18.20,2475,14,-,-,-,-,150,-,10127,10600,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,10650,1003
-75,19.84,151.30,30.60,1425,6,-,-,-,-,75,-,10127,10700,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,10750,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,10800,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,10850,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,10900,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,10950,1003
225,19.92,83.75,11.45,308025,702,750,33.50,972.40,-76.40,35175,55,10127,11000,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,11050,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,11100,1003
-,-,-,-,825,-,-,-,-,-,-,-,10127,11150,1003
300,19.86,54.10,9.00,6750,23,-,-,-,-,75,-,10127,11200,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,11250,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,11300,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,11350,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,11400,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,11450,1003
3900,20.12,27.80,4.55,22050,94,225,38.18,1410.00,-86.70,1875,7,10127,11500,1003
-,-,-,-,-,-,-,-,-,-,-,-,10127,11550,1003
